domain_id,micro_credential_id,micro_credential_title,competency_order,competency_id,competency_name,rubric_version,criterion_id,criterion_name,criterion_descriptor,evidence_required,weight,binary_scoring,pass_threshold,question_type,scenario_variation_rule,reattempt_rule,question_format_rule,integrity_rule,locked_status
22,197,AI Prompt Engineer,1,61,Write structured prompts,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Write structured prompts in the scenario.",Clearly states what Write structured prompts must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,1,61,Write structured prompts,1,c2,Applied execution,Applies Write structured prompts correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Write structured prompts.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,1,61,Write structured prompts,1,c3,Reasoned justification,Explains why the chosen approach for Write structured prompts is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,1,61,Write structured prompts,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Write structured prompts.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,2,62,Optimize outputs iteratively,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Optimize outputs iteratively in the scenario.",Clearly states what Optimize outputs iteratively must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,2,62,Optimize outputs iteratively,1,c2,Applied execution,Applies Optimize outputs iteratively correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Optimize outputs iteratively.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,2,62,Optimize outputs iteratively,1,c3,Reasoned justification,Explains why the chosen approach for Optimize outputs iteratively is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,2,62,Optimize outputs iteratively,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Optimize outputs iteratively.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,3,63,Control tone & format,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Control tone & format in the scenario.",Clearly states what Control tone & format must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,3,63,Control tone & format,1,c2,Applied execution,Applies Control tone & format correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Control tone & format.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,3,63,Control tone & format,1,c3,Reasoned justification,Explains why the chosen approach for Control tone & format is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,3,63,Control tone & format,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Control tone & format.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,4,64,Chain prompts logically,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Chain prompts logically in the scenario.",Clearly states what Chain prompts logically must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,4,64,Chain prompts logically,1,c2,Applied execution,Applies Chain prompts logically correctly in a realistic scenario using an appropriate method or sequence of steps.,"Demonstrates a valid workflow, procedure, or prompt design for Chain prompts logically.",0.3,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,4,64,Chain prompts logically,1,c3,Reasoned justification,Explains why the chosen approach for Chain prompts logically is appropriate for the scenario and constraints.,"Provides clear reasoning, not only steps, and connects decisions to the scenario context.",0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,4,64,Chain prompts logically,1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation check, or quality-control step relevant to Chain prompts logically.","Shows awareness of errors, tradeoffs, or controls needed before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
22,197,AI Prompt Engineer,5,65,Handle edge cases,1,c1,Objective framing,"Identifies the correct objective, scope, or decision point for Handle edge cases in the scenario.",Clearly states what Handle edge cases must accomplish and what the learner is solving for.,0.25,met/not_met,75.0,scenario_based_applied,scenario may vary but competency descriptor and difficulty must remain fixed,"after fail, full teaching loop must be completed before reassessment unlocks",no multiple choice; learner must demonstrate practical use of the competency,timestamp all interactions; verify learner identity at session start; flag unusual response patterns,draft_seed_for_locking
