domain_id,domain_name,micro_credential_id,micro_credential_title,micro_credential_level,competency_order,competency_id,competency_name,competency_description,rubric_version,criterion_id,criterion_name,criterion_descriptor,evidence_required,weight,binary_scoring,pass_threshold,question_type,scenario_variation_rule,reattempt_rule,question_format_rule,integrity_rule,locked_status,source
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,1,1,Write structured prompts,"Construct well-structured prompts using chain-of-thought and few-shot techniques to produce accurate, context-grounded AI outputs within AI-driven organizational workflows",1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Write structured prompts in the scenario.",Clearly states what Write structured prompts must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,1,1,Write structured prompts,"Construct well-structured prompts using chain-of-thought and few-shot techniques to produce accurate, context-grounded AI outputs within AI-driven organizational workflows",1,c2,Applied execution,"Applies Write structured prompts correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Write structured prompts.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,1,1,Write structured prompts,"Construct well-structured prompts using chain-of-thought and few-shot techniques to produce accurate, context-grounded AI outputs within AI-driven organizational workflows",1,c3,Reasoned justification,"Explains why the chosen approach for Write structured prompts is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,1,1,Write structured prompts,"Construct well-structured prompts using chain-of-thought and few-shot techniques to produce accurate, context-grounded AI outputs within AI-driven organizational workflows",1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Write structured prompts.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,2,2,Optimize outputs iteratively,"Optimize AI-generated outputs through iterative prompt refinement cycles, adjusting tone, format, and specificity to meet professional quality standards",1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Optimize outputs iteratively in the scenario.",Clearly states what Optimize outputs iteratively must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,2,2,Optimize outputs iteratively,"Optimize AI-generated outputs through iterative prompt refinement cycles, adjusting tone, format, and specificity to meet professional quality standards",1,c2,Applied execution,"Applies Optimize outputs iteratively correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Optimize outputs iteratively.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,2,2,Optimize outputs iteratively,"Optimize AI-generated outputs through iterative prompt refinement cycles, adjusting tone, format, and specificity to meet professional quality standards",1,c3,Reasoned justification,"Explains why the chosen approach for Optimize outputs iteratively is appropriate for the scenario, constraints, and desired outcome.",Provides explicit reasoning tied to the scenario rather than only listing steps.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,2,2,Optimize outputs iteratively,"Optimize AI-generated outputs through iterative prompt refinement cycles, adjusting tone, format, and specificity to meet professional quality standards",1,c4,Risk and quality control,"Identifies at least one risk, limitation, validation step, or quality-control measure relevant to Optimize outputs iteratively.","Shows awareness of errors, tradeoffs, monitoring, or validation before accepting the result.",0.2,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,3,3,Control tone & format,"Control AI output style and format by applying role-based, system-level, and persona prompts appropriate to organizational communication requirements",1,c1,Objective framing,"Identifies the correct objective, scope, and decision point for Control tone & format in the scenario.",Clearly states what Control tone & format must accomplish and what problem the learner is solving.,0.25,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
1,AI & Automaiton,1,AI Prompt Engineer,EQF 6,3,3,Control tone & format,"Control AI output style and format by applying role-based, system-level, and persona prompts appropriate to organizational communication requirements",1,c2,Applied execution,"Applies Control tone & format correctly in a realistic scenario using an appropriate method, sequence, or workflow.","Demonstrates a valid step-by-step workflow, method, or solution design for Control tone & format.",0.3,met/not_met,75.0,scenario_based_applied,"Scenario may vary, but the same competency descriptor and difficulty level must remain fixed across learners.","After fail, full teaching loop must be completed before reassessment unlocks.",No multiple choice; learner must demonstrate practical use of the competency in context.,Verify learner identity at session start; timestamp all interactions; flag unusual response patterns; retain immutable audit logs.,draft_seed_for_locking,EIU-Paris (IKON SKILLS™)
