domain_id,domain_name,micro_credential_id,micro_credential_title,total_competencies,launch_ready,missing_locked_rubric_count,missing_locked_rubrics
1,AI & Automaiton,1,AI Prompt Engineer,10,yes,0,
1,AI & Automaiton,2,AI Project Manager,10,no,10,Define AI scope; Translate business needs; Manage AI risks; Timeline planning; Stakeholder coordination; Cost estimation; Model selection; Deployment planning; Performance tracking; Ethical compliance
1,AI & Automaiton,3,Generative AI Practitioner,10,no,10,Content generation control; Model fine-tuning basics; Data prompting strategies; Quality filtering; Bias detection; Use multimodal tools; Automation workflows; IP risk awareness; Output evaluation; Human-AI collaboration
1,AI & Automaiton,4,Responsible AI Practitioner,10,no,10,Bias identification; Fairness evaluation; Risk documentation; Transparency design; Explainability methods; Regulatory alignment; Consent management; Model auditing; Ethical reporting; Governance frameworks
1,AI & Automaiton,5,AI Workflow Automation Specialist,10,no,10,Process mapping; API orchestration; Trigger-based logic; Error handling; Data pipelines; Tool integration; Version control; Automation testing; Monitoring systems; Performance optimization
1,AI & Automaiton,6,Conversational AI Designer,10,no,10,Dialogue flow design; Intent mapping; Entity recognition; UX writing; Error recovery flows; Training datasets; Multilingual support; Sentiment handling; Conversation testing; Bot performance tuning
1,AI & Automaiton,7,AI Decision Support Analyst,10,no,10,Decision modeling; Scenario simulation; Data sourcing; Model validation; Confidence scoring; Visualization; Risk interpretation; Bias detection; Stakeholder explanation; Continuous learning loops
1,AI & Automaiton,8,AI Content Strategist,10,no,10,Audience analysis; AI editorial planning; Prompt strategy; Content QA; SEO alignment; Brand voice control; Workflow design; Compliance checks; Performance analytics; Automation pipelines
1,AI & Automaiton,9,AI Knowledge Management Specialist,10,no,10,Knowledge structuring; Vector databases; Retrieval optimization; Data cleaning; Taxonomy building; Search tuning; Governance rules; Security design; Documentation standards; Continuous updating
1,AI & Automaiton,10,AI Productivity Architect,10,no,10,Task automation; Tool selection; Workflow optimization; Productivity metrics; User training; System integration; Change management; ROI analysis; Adoption strategy; Performance scaling
1,AI & Automaiton,11,Applied AI Research Professional,10,no,10,Research framing; Experiment design; Dataset evaluation; Statistical validation; Model benchmarking; Documentation; Peer review literacy; Ethical compliance; Reproducibility; Publication readiness
1,AI & Automaiton,12,AI Quality & Validation Specialist,10,no,10,Test dataset design; Error classification; Performance metrics; Regression testing; Drift detection; Bias testing; Audit reporting; QA automation; Tool validation; Compliance verification
